Gene.symbol,Gene.ID,adj.P.Val,logFC
FBXO43,286151,1.1966543473703e-05,0.867153950824262
TPT1,7178,0.157567958939057,-0.86714359128458
PRKCI,5584,1,0.867050079321993
,,1,-0.866957104487528
ARSA,410,0.0596165938543339,-0.866932588048757
,,0.00485833918203117,-0.86688413155215
JAZF1,221895,1,-0.866839800710884
RNU11,26824,1,0.86638643831633
,,0.45421567768935,-0.866379140043082
,,1,-0.866290181907031
KLHL36,79786,0.00448803503754427,-0.866046859257369
,,1,0.866026240545354
KIAA1549,57670,0.00386401520599125,0.866014712853746
HERC2P9///HERC2P2///HERC2P3///HERC2,440248///400322///283755///8924,1,0.865794957802718
OR52N4,390072,1,-0.865610991930838
TRIM39-RPP21///TRIM39,202658///56658,0.0298730885966605,-0.865410477517007
CLEC1A,51267,1,-0.865294791961451
GLO1,2739,1,0.865158670984133
SLC36A4,120103,0.168397695488154,0.865068939524941
,,0.0441109983619981,-0.865066369212019
,,0.437043300676078,-0.86500879136621
,,0.0476865231641164,0.864943963306122
VAV3,10451,1,0.864847563723359
FBN2,2201,1,0.8643885737483
,,1,0.864323627690477
PSMG1///PSMG1,8624///8624,1,0.864292585978461
,,1,0.864226948614515
LARGE2,120071,1,-0.863811006327666
AQP3,360,1,-0.863688557045352
SLC46A3///SLC46A3,283537///283537,0.381465909391724,-0.863651425388883
HSPG2,3339,0.071928798637149,0.863605647234694
OSER1,51526,1,-0.863530908151922
EWSR1,2130,1,0.863420957139462
PLEKHB2,55041,1,0.863398210611118
PSMC3,5702,0.00544784368616473,0.863321289829927
IFT172,26160,1,0.863233455431973
TMEM220,388335,1,0.862953201175738
TENM1,10178,1,-0.862846460494333
MIRLET7D,406886,0.0208223774236991,-0.862796713106575
ATP6V0E1,8992,1,-0.862795893929704
S100P,6286,1,-0.862379542137188
FOCAD,54914,0.0410881342664737,0.862030228925175
MARCH3,115123,1,-0.861595291094099
SERPING1,710,1,0.861527281263037
,,1,0.861485265247167
,,1,-0.86142985133787
,,1,-0.861408052189336
GTF2H1,2965,1,-0.861249254482995
,,1,0.861232173615647
TMEM116,89894,1,-0.861138762651923
RBM11,54033,1,-0.860891624823128
MTAP,4507,1,0.860804879125855
,,1,-0.860671791224489
,,0.128553599842498,0.860616671418369
PREP,5550,1,0.860389230837872
RPL17-C18orf32///C18orf32,100526842///497661,1,-0.860251616896821
TMA16,55319,1,0.860233128840134
MAP3K1,4214,0.007922809098522,-0.8601847542517
ZMYM4,9202,1,0.860154399580501
NCOA2,10499,1,-0.86010485418027
,,1,-0.859971508765307
COX7B,1349,1,0.859794059774383
,,1,0.859752498096376
PTK7,5754,0.0364971529074041,0.859640284802722
GON4L,54856,6.6542573882171e-06,-0.859314804987528
CLEC2B,9976,1,-0.859137349032874
PSMC2,5701,1,0.859072063371881
,,0.0572244048577491,-0.859047526561225
DIS3L,115752,1,0.858623969913828
HSD17B4,3295,1,0.858465864546488
SVBP,374969,1,-0.858272933126983
ASB13,79754,1,0.858243133342403
,,0.86900399704467,0.858213163066887
CCNJ,54619,1,0.858163321981854
SNORA61///SNHG12,677838///85028,1,0.858077465209757
GPATCH2,55105,1,0.857818834320863
,,1,-0.85769638496145
FAM24B-CUZD1///CUZD1,100533195///50624,1,-0.857624472189343
ITSN1,6453,1,0.857610819911568
,,1,0.857326882575964
PNPT1,87178,1,0.85698319704762
VEZT,55591,1,0.856869745394557
,,1,-0.856574498315193
EIF2B2,8892,0.303925745847505,0.855673214562356
ATP7B,540,1,0.855533719854877
,,1,-0.855533277308393
DHCR7,1717,1,0.855520687911567
MICAL1,64780,0.100501427721205,-0.855488651231298
GM2A,2760,1,0.855437173287979
PAWR,5074,1,-0.855330272126984
,,1,0.855213775865078
CORO1A,11151,0.429873865392844,-0.855212527134919
NPAT,4863,1,-0.85515210134807
,,1,-0.855102073481856
PARK2,5071,0.0901294171175485,-0.855065878371881
,,1,-0.855024307647391
,,0.201742740160954,0.855002952371891
GSTO1,9446,1,0.854888181054421
KLF3,51274,1,-0.854829982046484
ZNF320///RPS27///RGS4///RPS27,162967///6232///5999///6232,1,-0.854818968431971
TUBA1B,10376,6.26087286956226e-05,0.854647764908153
RINL,126432,8.27588432327035e-05,-0.854585730795916
DNM1,1759,0.00015048553307355,0.8545544844898
,,1,-0.854311723698409
GNGT2,2793,0.0323929037375801,-0.854262160905896
FAM76A,199870,0.00349924569919216,-0.8539835373356
CLN5,1203,1,-0.853983516894554
EIF3CL///EIF3C,728689///8663,1,0.853788957128122
,,1,0.853509659731291
GPR52,9293,0.690687596667489,-0.85305753715646
,,0.0806397683305099,-0.852861588712018
L3MBTL3,84456,0.229708573673373,-0.852248604340137
,,1,-0.852231634478459
,,1,0.852202653272107
VDAC1,7416,0.0850702842063077,0.85218290509638
,,0.308458659061951,-0.852043991027212
ACOT11,26027,1,0.851871730809525
PTCD2,79810,1,0.85175566786168
,,1,-0.851529937683672
APBB3,10307,3.19197840419945e-06,-0.851075488017007
,,1,-0.850994068091835
TXNRD1,7296,1,0.850972801829935
MVP,9961,1,-0.850971273859407
CEP41///CEP41,95681///95681,1,0.850965391046484
,,1,0.850842438826534
DROSHA,29102,1,0.850814619853741
,,1,0.850798930931971
,,1,0.850586804378689
PCF11,51585,0.00228988807717264,-0.850407680486391
DECR1,1666,0.000499179326654939,-0.850368368687072
PHPT1,29085,0.00139396657497038,0.849901453819734
CDC14A,8556,1,-0.84969029151134
TTLL7,79739,1,0.849506792908164
,,1,-0.849404312671206
KNSTRN,90417,0.691953067567731,0.849231179977327
,,1,-0.84918268898639
LOC100129395,100129395,0.528597529390452,-0.849056367806122
,,1,0.848655807492074
LGALS9C///LGALS9B///LGALS9,654346///284194///3965,1,0.848629247145134
RREB1,6239,0.0245841958785801,0.848611619159868
SNN,8303,1,-0.84859245021202
,,1,-0.848414489606574
,,1,0.848349080421775
LOC400590,400590,1,-0.848332455994335
,,0.119433643270592,-0.848298267765303
,,1,0.848144213680277
TPD52///TPD52,7163///7163,1,-0.848001288075965
,,1,0.848000303294786
,,1,0.847995760998868
PHF11,51131,0.0257462189305005,-0.847616727291379
PHYH,5264,1,0.847488502252836
CEP57L1,285753,0.496832070973487,0.847384312410433
,,1,-0.847380876165533
POU2AF1,5450,1,-0.847379155763038
PIGT,51604,1,-0.847283041153062
LIMD1,8994,1,0.846677906356009
ABL1,25,0.000363391738136294,0.84664039495465
TOM1L2,146691,8.71147837075204e-06,-0.846498451752835
RPS2,6187,1,0.84626729900001
EEF1AKMT1,221143,1,0.846261496636054
,,1,0.846217147404765
FBXO3,26273,0.000279659466588409,-0.846074833970513
GCC2,9648,0.196749933196144,-0.846037654730152
ZNF662,389114,1,0.846036859052154
SWAP70,23075,1,0.84598785450681
HMOX2,3163,1,-0.845978358026072
FAM209A,200232,1,-0.845734109407029
C19orf66,55337,1.36326948294788e-05,-0.845720461884353
,,1,-0.845709804797053
ATP8A1,10396,0.679776610364833,-0.845622851960314
USP54,159195,0.224191234789762,0.845622720446712
GLUD2///GLUD1,2747///2746,1,0.845586134647396
MS4A2,2206,1,0.845584738086167
CARD8,22900,0.25006318228561,-0.845549105327665
MDS2,259283,1,-0.845488575052151
FBLN7,129804,0.187793399565351,-0.845407793441045
OR12D3,81797,1,-0.845359238750567
,,1,-0.845152012230158
DNAJC11,55735,1,0.84506207926078
,,1,-0.844966091126985
FKBP4,2288,1,0.844931357366213
SP4,6671,1,-0.844919398247161
NLRC3,197358,1,-0.844896140834463
ARMCX3,51566,1,0.844714539354873
FRAT2,23401,1,-0.844550763251696
THOC1,9984,1,0.844358268035151
GRAMD4,23151,1,0.844342460598641
,,1,0.844337614749434
EFCAB13,124989,1,-0.844255717552151
SNORD50B,692088,1,0.844244807837875
RNU1-1///RNU1-2///RNU1-3///RNVU1-7///RNVU1-18///RNU1-4,26871///26870///26869///26864///26863///6060,1,0.844001425201813
,,1,-0.843817181285714
ISCA1,81689,1,-0.843782512004534
,,1,-0.843698378369611
ZC3H12D,340152,0.0226332500501903,-0.843450143768704
STAT4,6775,1,-0.84320537722676
NSMAF,8439,1,0.843072539498865
DST,667,1,0.843062264257374
CMTM8,152189,1,-0.842700118891153
CACNA1I,8911,1,-0.842357057725624
PDE4DIP,9659,1,-0.842246784215414
DLEC1,9940,1,-0.842209235444444
CSNK1G2,1455,0.1723429797651,-0.842166827385485
MED31,51003,0.00864850274345747,-0.84195068021088
RHCE,6006,1,0.841707345752835
PDE3A,5139,0.502857067525277,0.841704900297053
CRACR2A,84766,1,-0.84167142954535
,,1,0.841612893790252
C11orf49,79096,1,0.841528755425171
CC2D2B,387707,1,-0.841240751598638
HSD17B7P2,158160,0.0743107991560469,-0.841036970208618
ICA1L,130026,1,0.840758887267576
OLA1,29789,1,0.840662398021547
FAM227A,646851,0.0706423602961292,0.84058189063152
BCL10,8915,0.302017304860327,-0.840509963045353
LPAR2,9170,1,-0.840262623435373
TNFSF13B,10673,1,0.840202675936507
,,1,-0.840194275131517
LINC00998,401397,1,0.839863224224493
UTP15,84135,1,0.839770167853739
SNORD43,26807,1,0.839751069725618
NEIL1,79661,1,-0.839582235648524
,,1,-0.83945360517687
CASZ1,54897,1,-0.839442395866211
CWC15,51503,1,-0.839388110039682
PTGS1,5742,1,0.839362606871887
GOLGA8R///GOLGA8DP///GOLGA8F///GOLGA8CP///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8B///GOLGA8EP///GOLGA8G///GOLGA8A,101059918///100132979///100132565///729786///728047///653720///653125///653073///653061///643699///440270///390535///283768///23015,0.000358604248469907,0.839228054405895
,,1,0.839217612792519
NCOA3,8202,0.785342190809422,-0.839186288544212
DMWD,1762,7.4749136884623e-06,-0.83918399446712
TMA7,51372,1,-0.839092100155332
FAF1,11124,1,0.838888192031745
RAB33B,83452,0.000230018005151217,-0.838769498965985
ZNF24,7572,3.36100172336553e-06,-0.838763763081635
,,1,-0.838734806020406
PNPO,55163,1,0.838685099094107
HADHA,3030,0.00525229474650799,0.838493002454646
EPN2,22905,1,-0.83837232584467
DENND1C,79958,0.0749676347972374,-0.838280415676869
OR52K1,390036,1,-0.83813663921882
OAT,4942,1,0.837567060583906
CASP8,841,1,-0.837184454645124
TMEM51,55092,0.0248711633022387,0.8369430133288
,,0.0583768721397539,0.836894931828803
,,1,0.836505327393432
BCCIP,56647,1,0.836266970621323
MEX3B,84206,0.120102477438387,0.836240156951248
RUNX2,860,1,0.836198372256234
HLA-J///HLA-H///HLA-A///HLA-A,3137///3136///3105///3105,0.00150225614144263,-0.836074324678004
KIAA0430,9665,0.0159041312589742,-0.835951552986398
DPCD///DPCD,25911///25911,0.0115413165452221,0.83594624895465
,,1,-0.835714857599775
SNORD49A,26800,1,0.835407532758505
LPXN,9404,1,-0.835375935648527
AMY2B///AMY2A///AMY1C///AMY1B///AMY1A,280///279///278///277///276,1,-0.83530903384694
RHOB,388,1,0.835301972125852
APIP,51074,1,0.835288514471656
C15orf40,123207,1,-0.835075457707482
TRIM16,10626,1,0.835035987751703
SNORD42A,26809,1,-0.83501586084127
TRAFD1,10906,0.111255073690889,-0.834996195897959
,,1,0.834991453495467
UGT8,7368,1,-0.834991199764174
PHKA1,5255,1,0.834887480314061
TEX10,54881,1,0.834790191956913
RAPGEF6,51735,0.393560559850514,-0.834766419102037
ACACB,32,0.048198516409967,-0.834734899597507
KLHL2,11275,1,-0.834411719817462
,,1,0.834389859730154
CD53,963,0.0590460546186166,-0.834363973353742
,,1,0.834237630985257
ZNF597,146434,1,-0.834174817196142
HBP1,26959,0.155477570977444,-0.834097680478456
AOC3,8639,1,-0.834080243655327
,,1,0.834041275317456
RUBCN,9711,0.0135057281105587,-0.834016642207485
SIL1,64374,0.00115592652121844,0.833892458335597
,,1,-0.833847459774375
,,1,-0.833757629062355
ASCC3,10973,1,0.833751356909294
GGT5,2687,1,0.833722099836735
NUDT9P1,119369,1,-0.833695248044216
,,0.146145144244297,-0.833617141846942
GALNT14,79623,1,0.833528675931973
CTDSP2,10106,0.0276764845624695,-0.833348675998863
RPL12,6136,1,0.833090835340137
UTP14A,10813,1,0.832983332616781
,,1,0.83276445207597
ACVR2A,92,1,-0.832616586719953
,,0.119992764430354,-0.832498812479595
,,0.999425108309838,0.832421847501141
ATL2,64225,1,0.832415368229024
KIZ,55857,1,-0.832329634239229
TALDO1,6888,1,0.832151871080496
RAB31,11031,1,0.832109294650797
MIR103A2,406896,1,-0.83208745271542
CASP8AP2,9994,1,-0.832081230390022
STK26,51765,4.14546762910842e-05,0.832070857937646
TNRC6B,23112,0.000355312870915336,-0.832028570359411
KATNBL1P6///KATNBL1,729176///79768,1,-0.831936709835603
BEAN1,146227,1,-0.831753913835598
SNHG1///SNORD22,23642///9304,1,0.831469648231296
MLLT6,4302,1,-0.831290671865076
H2AFZ,3015,1,0.831258464121323
,,1,0.831043790281181
GPR137B,7107,1,-0.830993413734696
ANAPC1P1///LOC285074///ANAPC1,100286979///285074///64682,1,0.830915090873022
PRDM4,11108,1,-0.830855665862809
DSG2,1829,1,0.830760108890022
MRPL22,29093,1,0.830372644877551
FGD6,55785,1,0.830336730214288
UBL3,5412,1,-0.830236639063489
ITGA5,3678,1,0.830138433171202
,,1,0.830126048924038
DKK3,27122,0.0020684195559487,-0.830124801157596
YEATS4,8089,1,0.829887936185941
CD300LF,146722,1,0.829822792692744
,,1,0.829701490120186
RNVU1-3,101954272,1,0.829565981147391
,,1,-0.829445342114512
TPGS2,25941,1,0.829212837684809
SNRPF,6636,1,0.829059346659868
,,0.995691085101743,-0.828839507712016
DNAJB11,51726,0.390519795106593,0.828400975665542
PTPN22,26191,1,-0.828246897060092
XYLB,9942,1,0.828153809314061
C11orf58,10944,1,0.828074936284576
,,0.0830303758404782,0.828038784090705
GUF1///GUF1,60558///60558,1,0.827997219871881
,,1,0.827993313751698
TMEM217,221468,0.0085901236368157,0.827778120373018
FAM19A1,407738,1,-0.827753259070295
ATP7A,538,1,-0.827740687391149
G0S2,50486,1,-0.827689117979594
,,1,0.827613287333342
EBF1///PDGFRB,1879///5159,1,-0.82756952791043
SOS1,6654,0.0769380076743355,-0.827503758614512
PAX8-AS1,654433,1,-0.82743533069728
,,1,0.827433514827675
LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,105369230///3128///3127///3126///3125///3123///105369230///3127///3126///3125///3123///3119,1,-0.827390958133788
,,1,-0.827345039011339
DTX2,113878,1,-0.827286812053286
,,1,0.827106381832201
DNMT1,1786,1,0.827047488688208
TIPIN,54962,0.688259928654199,0.827043410503403
,,1,0.827021017045356
IFNAR2,3455,1,-0.826816976356004
BEX2,84707,1,-0.826744326540815
HSD17B10,3028,1,0.826383068439915
SEC14L1,6397,1,-0.826197745529478
KIAA0825,285600,1,-0.826062364748297
LOC388022,388022,1,0.825798999086165
PFKFB2,5208,1,-0.825427759741495
,,1,0.825321079249436
,,0.0180250722170928,0.825311130531745
LINC00476,100128782,1,-0.825273161528341
,,1,-0.82499745747959
SNORD32A,26819,1,-0.824930001265308
FN1,2335,1,0.824848410055558
,,1,0.824417446306125
ARHGEF34P///OR2A7///OR2A25///OR2A4,728377///401427///392138///79541,1,-0.824322608947843
LRP3,4037,1,0.824321992273242
C11orf45,219833,0.000666570569492993,0.824025007334469
FLJ42022///CLK3,646748///1198,1,-0.823602576197275
RBMS1,5937,1,-0.823339225841268
,,1,-0.823323011814061
,,1,-0.822902353725621
HSH2D,84941,1,0.822804053673472
POLR3G,10622,0.198966179938726,0.822749575528343
,,1,0.822457895937643
RMND5B,64777,0.000310449910299947,-0.822455378013597
TTC8,123016,1,0.822200561825396
ATXN7L1,222255,1,-0.822102862166667
,,0.181997484608065,-0.821871366140588
,,1,-0.821865140431973
,,1,0.821634894734697
IPO9,55705,1,0.821561196445578
EID1,23741,1,0.82155153715193
,,1,-0.821403601193877
RAC2,5880,0.0224916928929765,-0.821362674506798
RPAP3,79657,1,-0.82119779770975
TCIRG1,10312,1,-0.820778333320863
PPIAP30///PPIAL4C///PPIAL4A///PPIAL4G///PPIA,100192204///653598///653505///644591///5478,1,0.820726832863942
LOC100128644,100128644,1,-0.820562839456917
DUSP18,150290,1,-0.820276131295919
,,1,0.820066046038553
FAM200B,285550,1,-0.819940985357142
,,0.106425605340582,0.819731869512477
E2F1,1869,0.000185347172212824,0.819638286413836
,,0.239122219805388,0.819454323233565
SMAD2,4087,0.070481153375237,-0.819262459555553
MFSD2B,388931,0.865350849735904,0.818719548608845
KMT2E,55904,0.0222845915856698,-0.818545643916091
RAB36,9609,1,-0.818497319710882
SGCE,8910,1,-0.818301054572563
COX5B,1329,1,-0.818226486823126
SEPHS1,22929,1,0.818201915931978
GTF2A1,2957,0.130025419579064,-0.818199111874145
PBXIP1,57326,1,-0.818196916184806
TJP2,9414,1,0.817982939521542
,,1,0.817871077732429
SYDE2,84144,1,-0.817796558316325
,,1,0.81774910934694
PSMB7,5695,0.0471272354199977,0.81771733269388
,,1,-0.817708504757367
OR1F2P,26184,1,-0.8176806152449
,,1,0.817653781705214
CPSF6,11052,1,0.817573042452389
PHF19,26147,1,0.817493685390024
CPEB3,22849,1,-0.817477076486393
ARHGEF11,9826,1,-0.817128208664402
EOMES,8320,1,-0.817118089157593
LOC401320,401320,1,-0.816831097614518
SPIRE1,56907,1,0.816743149367348
RAB43,339122,1,-0.816736202339
ARHGAP31,57514,1,-0.816724702569164
,,1,0.816712679613387
LINC01341,149134,0.00210720623316787,0.816582957295919
,,1,0.816556672885493
DCLRE1A,9937,1,0.816486898946712
SAP30L,79685,0.000152341107807599,-0.816452141827661
,,1,-0.816207946087306
NBR1,4077,1,-0.816169258857144
,,1,-0.816159571018138
C12orf45,121053,1,0.816060223447852
LTB,4050,0.0415568732425484,-0.816032013806125
FAM234A,83986,3.61478446209157e-09,0.815924609741494
EIF3I,8668,0.445375152460579,0.815867599715421
ARAP3,64411,1,-0.815766784768704
FAM86HP///FAM86B1///FAM86C1,729375///85002///55199,1,0.815617961264173
FKBP7,51661,1,0.815578095695013
,,1,-0.815530490343536
FAM20B,9917,0.188882730302037,0.815377003987526
ZCCHC6,79670,1,-0.814865417623578
,,1,0.814658696001133
DDX52,11056,1,0.814657199209751
HIP1,3092,1,0.814476840321994
SCAMP5,192683,1,0.81438983859637
,,1,0.814330538986395
ZCWPW1,55063,0.214672672473741,-0.814235104286846
STAT5B,6777,1,-0.813877650812925
TESK2,10420,1,-0.813494411963713
ADGRE1,2015,1,0.813442639287985
RAD51L3-RFFL///RFFL,100529207///117584,1,-0.813425313935373
,,1,-0.813395302106575
ZNF786,136051,1,-0.8133855530941
,,1,-0.81333460522789
,,1,-0.813321334154193
SNORA37,677819,1,-0.812783307142855
CCDC97,90324,0.489274625524014,-0.812686202107705
PRF1,5551,1,-0.812431192992065
,,1,0.812284591842401
KREMEN1,83999,1,-0.812229776068028
TPMT,7172,1,0.812156527124717
PHC3,80012,1,-0.812080401733557
CTSB,1508,1,0.811901365586174
XPOT,11260,1,0.811865640214286
RHBDF2,79651,1,-0.811817341407027
PXN,5829,1,-0.81177203565646
SCFV///IGLJ3///IGHV3-23///IGHV3-41///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///IGH///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7,652070///28831///28442///28428///28396///3507///3501///3500///3493///3492///317730///50802///28912///28442///28424///28407///28402///28309,1,0.811731346216561
SPATA5,166378,1,0.811632650253969
,,1,0.811630269986392
GATAD2B,57459,1,-0.811580444051021
,,1,0.811579111968248
RPL29,6159,1,0.811510928138318
,,1,0.811316946791385
NDRG3,57446,1,-0.811119876261897
STRIP2,57464,0.00747592454760557,0.811052994243771
CNOT4,4850,1,-0.810956996865079
,,1,0.810947701532886
,,1,0.810946187430841
TTPAL,79183,0.0307384992759224,-0.810916256609973
OR7E37P///MGC72080///OR7E5P///DAPL1///OR7E47P///OR7E12P///OR7E14P,100506759///389538///219445///92196///26628///10821///10819,1,-0.810893723445576
USP46,64854,1,0.810728691934244
,,1,0.810669338049888
,,1,-0.810574316506804
LOC100129884///LOC100129884,100129884///100129884,0.012821064682986,-0.810507645982992
,,0.288864840736044,-0.810366672040812
RHD,6007,1,0.810324288786848
SERPINB6,5269,1,0.81021947124036
DDAH2,23564,1,0.810066444061226
,,1,0.810062241809529
,,1,0.809970475820855
SNORD64///PWAR5,347686///8123,1,-0.809766790026079
C14orf28,122525,1,-0.809501813000002
MICA,100507436,0.397300469676173,-0.809481581664397
PTGS2,5743,1,0.809456884146257
,,1,0.808995616913834
FOS,2353,1,0.808906358515875
SLC22A1,6580,1,-0.808903048636055
PTCD3,55037,1,0.808647625234697
LARS2,23395,1,0.808400897317465
PARP14,54625,1,-0.808103469100905
,,1,-0.807853709447846
CFP,5199,1,0.807824502596369
,,1,-0.807705955247163
HMGN2,3151,0.00848826369995342,0.807703101471652
TMEM106A,113277,1,0.807699494789118
,,1,-0.807476886797049
PRDM5,11107,1,-0.807424779541946
CCDC43,124808,1,0.807320483886619
TMCO6,55374,4.49161900229585e-05,-0.807223213238097
,,1,-0.807222727038548
TUBGCP5,114791,1,0.807186589049892
SNX29P1///SNX29P2///SNX29,100652781///440352///92017,1,-0.807093874331064
ING3,54556,7.98358185332559e-05,-0.807047701907023
RASD1,51655,0.00681383264446784,0.806987566116788
KIF24,347240,2.84564101485125e-06,0.806799482868485
,,1,0.806362976143996
,,0.927379085823422,0.806174747357153
,,1,-0.805962212378685
,,1,-0.805798063839
TMSB4XP6///TMSB4XP2///TMSB4XP1///TMSB4X,7120///7116///7115///7114,0.00859885812506964,-0.805719901031738
,,1,0.805676178080498
EIF2S1,1965,1,0.805534976617912
RBSN,64145,2.13519344678059e-06,-0.805482181081631
NDE1,54820,1,-0.805259429709748
ST18,9705,0.00309204691392633,0.805142330121313
DNAJB5,25822,1,-0.804941620646259
,,1,0.804804341970524
PKM,5315,1,0.804735189671202
BEX1,55859,1,0.804726540407029
ZNF611,81856,0.85316758386525,-0.804720490598639
URAD,646625,0.0238694450548552,0.804668450897962
SLC35E2B,728661,1.23748936195486e-07,-0.804608371880954
CCT5,22948,0.00349022183069264,0.804572877518137
KRTAP12-3,386683,0.709987715589807,-0.804540217945577
ITGB3,3690,1,0.804383673134923
DARS2,55157,0.277676295369361,0.804166361870746
CLGN,1047,1,0.804135253002266
RASSF2,9770,1,-0.80406489410545
SLC16A10,117247,1,-0.804056991637187
MAP4K4,9448,1,-0.804000204926301
NTAN1,123803,1,-0.803091424506803
RSRC1,51319,0.0120980248351678,0.802890139318587
,,1,0.8027874993322
DCUN1D1,54165,1,0.802627971907025
PPP1R21,129285,0.0101361438021307,-0.802615240495461
KIF13A,63971,1,0.802436416038554
AKAP6,9472,1,-0.802398756612243
MTF2,22823,1,0.802397374171207
KLRC3,3823,1,-0.802352698336735
UBBP4,23666,1,0.802272636630384
ZMAT1,84460,1,-0.802175621273244
CLK4///CLK4,57396///57396,0.296757186222852,-0.80209917386734
,,1,0.802080682735831
,,1,-0.801589923216555
CTDSPL,10217,1,0.801569015733564
POLR1B,84172,1,0.801504447732427
MIB1,57534,0.420456027268021,0.801033700690481
LINC00910,100130581,1,-0.800833117887752
SNORD46,94161,1,-0.800628741730151
,,1,0.800409413246033
RAB7B,338382,6.99091569506927e-05,0.800357542376416
FBXO4,26272,1,0.800293396780051
CDKN1A,1026,1,0.800283302706348
NOP14,8602,1,0.800282565501134
ZNF768,79724,1,0.799970773497732
,,1,-0.79981477061791
STEAP1B,256227,1,-0.799805712148526
TPP1,1200,1,0.799789674085037
ASB6,140459,0.00677867447023788,-0.799690631975056
NOLC1,9221,1,0.799507227943318
BCL2L1,598,0.69234570183841,0.799458450212016
LOX,4015,1,0.799421074352611
,,1,0.79941093821542
,,1,-0.799208514361675
CRYM-AS1,400508,1,0.799149164537414
ZNF583,147949,1,-0.79895784759864
WNT7A,7476,1,-0.798935861478457
PKP4,8502,1,0.798808002535151
KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1,100132285///553128///115653///57292///3813///3812///3811///3810///3809///3808///3806///3804///3803///3802///3813///3812///3811///3810///3808///3802,1,-0.798733885057823
,,1,-0.79868392025737
,,1,-0.798667034986393
,,1,-0.798653204675731
,,1,0.798544465825398
,,1,-0.798527087697277
AADAT,51166,1,0.798252209378684
NUP37,79023,1,0.798133280105437
CSE1L,1434,0.949485665171683,0.798053925675736
OPTN,10133,1,-0.797964965223356
,,1,0.797827797640585
MIR600HG,81571,1,-0.797799344849207
FYN,2534,1,-0.797728850324258
ELAC2,60528,1,0.797480535055567
CYB5B,80777,1,0.797341297208625
,,1,0.797170262769844
MED10,84246,0.211880573552946,-0.797147477209747
TSGA13///COPG2,114960///26958,0.000260353742198983,0.796978614131519
ADCY3,109,0.517278468100073,0.796858826185942
MRFAP1L1,114932,1,-0.796778189098641
FAXDC2,10826,1,0.796752340266441
PLD2,5338,0.650680308763745,-0.796730582553282
CFAP20,29105,0.00773900064106419,0.79651324378685
P2RX5-TAX1BP3///P2RX5,100533970///5026,1,-0.7964534440068
,,1,-0.7962762700805
,,1,-0.795810519814055
ZNF219,51222,0.00770806212948963,0.795731017995467
PSMB2,5690,0.0237501876213485,0.795598953383218
TCL6,27004,1,-0.79537380430272
VAV1,7409,0.0955456620828183,-0.795129890141721
,,1,0.794837851183681
,,0.0248873773737297,0.794593752826529
WRAP73,49856,0.00389994061444242,-0.794524052586169
,,0.632067484570675,-0.794449481496597
SBDS,51119,1,-0.794392421073697
,,1,0.794392205659865
,,1,-0.794358431732431
NR6A1,2649,1,0.794336534716555
TBX21,30009,1,-0.794296117100906
HEXA,3073,1,0.794207866156461
,,1,-0.794065036501131
TMEM176B,28959,1,0.793927077482994
SCARNA1,677774,1,-0.793636615490929
RSAD2,91543,1,-0.793632528750567
TOX,9760,1,0.79360920599887
TMEM164,84187,1,0.793557698471657
,,0.39236320508635,0.793524882099771
RSBN1,54665,0.00551719993355881,-0.793316088053288
,,1,0.793220250749433
EIF4EBP1,1978,0.0257361175669703,0.793146751265308
,,1,-0.792634942071428
RPL17-C18orf32///RPL17,100526842///6139,1,0.792541829414983
B2M,567,0.00361805932801682,-0.792357906575964
,,0.745692689835388,0.792190489315196
,,1,-0.792188542463721
SPATA7,55812,0.191272991482067,0.792081095943315
ERO1B,56605,0.126671717182663,-0.792014286738095
GTF2E2,2961,1,-0.791994813777777
ALG9,79796,1,0.791860538824261
,,1,-0.791830322176867
WDR77,79084,1,0.791736469346939
HCG27,253018,1,-0.791600542725624
LANCL2,55915,1,0.791595444537418
,,1,-0.791347699191614
,,1,-0.791219267469387
,,1,0.791035301291382
AGK,55750,1,0.790923494696147
HIST2H2BF///HIST2H2BA///HIST2H2BE,440689///337875///8349,1,0.790917174640597
CD79B,974,1,-0.790782644999998
FBXL2,25827,0.0437794372272707,0.790752998437644
POLG2,11232,1,0.790667668972792
RNPC3///AMY2B,55599///280,1,-0.790606782465979
,,1,0.790580285078236
HNRNPU,3192,1,0.79040566137188
FCHSD1,89848,0.0960970204721964,-0.790324984638323
HELQ,113510,1,-0.790324084098633
,,1,-0.790318665857147
SNRPA1,6627,1,0.790302353892293
,,1,-0.790234013982991
,,0.628718120737524,-0.790229114049887
,,1,-0.790092616695012
,,0.147936792128645,-0.790072276792514
